production_id,date,time,turbine_name,capacity,location_name,latitude,longitude,region,status,responsible_department,wind_speed,wind_direction,energy_produced
14689,2024-07-05,00-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,7.8324,NW,1673.28101
14690,2024-07-05,00-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,21.71295,E,1096.12835
14691,2024-07-05,00-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,4.46175,SW,1857.74587
14692,2024-07-05,00-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.83992,NW,883.83259
14693,2024-07-05,00-10-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,9.33451,SW,1774.62547
14694,2024-07-05,00-10-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.76963,S,1403.63483
14695,2024-07-05,00-20-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.08193,S,1704.95081
14696,2024-07-05,00-20-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,5.12642,W,1326.97678
14697,2024-07-05,00-20-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,3.42612,W,1250.64092
14698,2024-07-05,00-30-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,20.99729,N,1721.34818
14699,2024-07-05,00-30-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,12.5673,NE,1679.44117
14700,2024-07-05,00-30-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,24.11406,S,1945.76787
14701,2024-07-05,00-40-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Reactive Maintenance,Maintenance,4.54534,S,0.0
14702,2024-07-05,00-40-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.97863,N,1347.38493
14703,2024-07-05,00-40-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,20.75354,N,1062.50593
14704,2024-07-05,00-50-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,2.8086,NW,1643.68028
14705,2024-07-05,00-50-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,7.65346,SE,1512.66357
14706,2024-07-05,00-50-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,19.27835,S,1569.48472
14707,2024-07-05,01-00-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,17.49577,W,1887.23298
14708,2024-07-05,01-00-00,Turbine B,2000,Location 2,36.7783,-119.4179,Region B,Online,Operations,15.68755,E,526.92147
14709,2024-07-05,01-00-00,Turbine C,2500,Location 3,40.7128,-74.006,Region C,Online,Operations,11.48677,E,1003.53291
14710,2024-07-05,01-10-00,Turbine A,2200,Location 1,34.0522,-118.2437,Region A,Online,Operations,3.53562,W,1184.02416
